Ticker|Name|CIK|SIC
CDNS|Cadence Design Systems|0000813672|7372
CZR|Caesars Entertainment Corporation|0000858339|7011
CPT|Camden Property Trust|0000906345|6798
CPB|Campbell Soup|0000016732|2000
CMD|Cantel Medical Corporation|0000019446|3841
COF|Capital One Financial|0000927628|6021
CAH|Cardinal Health|0000721371|5122
CSL|Carlisle Companies|0000790051|3060
KMX|CarMax|0001170010|5500
CCL|Carnival|0000815097|4400
CRI|Carter's|0001060822|2300
CASY|Casey's General Stores|0000726958|5500
CTLT|Catalent|0001596783|2834
CAT|Caterpillar|0000018230|3531
CBOE|Cboe Global Markets|0001374310|6200
CBRE|CBRE Group|0001138118|6500
CDK|CDK Global|0001609702|7389
CDW|CDW Corporation|0001402057|5961
CE|Celanese|0001306830|2820
CELG|Celgene|0000816284|2834
CNC|Centene|0001071739|6324
CDEV|Centennial Resource Development|0001658566|1311
CNP|Centerpoint Energy|0001130310|4911
CTL|CenturyLink|0000018926|4813
CDAY|Ceridian|0001725057|7372
BXP|Boston Properties|0001037540|6798
CF|CF Industries Holdings|0001324404|2870
CRL|Charles River Laboratories|0001100682|8731
CHTR|Charter Communications|0001091667|4841
CHE|Chemed Corporation|0000019584|8082
LNG|Cheniere Energy|0000003570|4924
CHK|Chesapeake Energy|0000895126|1311
CVX|Chevron Corporation|0000093410|2911
CIM|Chimera Investment|0001409493|6798
CMG|Chipotle Mexican Grill|0001058090|5812
CHH|Choice Hotels|0001046311|7011
CB|Chubb Limited|0000896159|6331
CHD|Church & Dwight|0000313927|2840
CI|Cigna|0001739940|6324
XEC|Cimarex Energy|0001168054|1311
CINF|Cincinnati Financial|0000020286|6331
CNK|Cinemark Holdings|0001385280|7830
CTAS|Cintas|0000723254|2320
CSCO|Cisco Systems|0000858877|3576
CIT|CIT Group|0001171825|6021
C|Citigroup|0000831001|6021
CFG|Citizens Financial Group|0000759944|6022
CTXS|Citrix Systems|0000877890|7372
CLH|Clean Harbors|0000822818|4955
CLX|Clorox|0000021076|2842
CME|CME Group|0001156375|6200
CMS|CMS Energy|0000811156|4931
CNA|CNA Financial|0000021175|6331
CNX|CNX Resources|0001070412|1311
KO|Coca-Cola|0000021344|2080
CGNX|Cognex Corporation|0000851205|3823
CTSH|Cognizant|0001058290|7371
COHR|Coherent, Inc.|0000021510|3826
CFX|Colfax Corporation|0001420800|3561
CL|Colgate Palmolive|0000021665|2844
CLNY|Colony Capital|0001679688|6798
CXP|Columbia Property Trust|0001252849|6798
COLM|Columbia Sportswear|0001050797|2300
CMCSA|Comcast Class A|0001166691|4841
CMA|Comerica|0000028412|6021
CBSH|Commerce Bancshares|0000022356|6022
COMM|CommScope|0001517228|3663
CAG|Conagra Brands|0000023217|2000
CXO|Concho Resources|0001358071|1311
CNDT|Conduent|0001677703|7389
COP|ConocoPhillips|0001163165|2911
ED|Consolidated Edison|0001047862|4931
STZ|Constellation Brands|0000016918|2080
CERN|Cerner|0000804753|7373
CPA|Copa Holdings|0001345105|4512
CPRT|Copart|0000900075|5500
CLGX|Corelogic|0000036047|7374
COR|CoreSite|0001490892|6798
GLW|Corning Inc.|0000024741|3357
OFC|Corporate Office Properties Trust|0000860546|6798
CSGP|CoStar Group|0001057352|7389
COST|Costco Wholesale|0000909832|5331
COTY|Coty, Inc.|0001024305|2844
CR|Crane Co.|0000025445|3490
CACC|Credit Acceptance|0000885550|6141
CCI|Crown Castle|0001051470|6798
