APA|Apache Corporation|1O-k|18|20180223|data/SEC/10-k/APA/sec_10k_18.txt
AIV|Aimco|1O-k|18|20180301|data/SEC/10-k/AIV/sec_10k_18.txt
AAPL|Apple Inc.|1O-k|18|20181105|data/SEC/10-k/AAPL/sec_10k_18.txt
AMAT|Applied Materials|1O-k|18|20181213|data/SEC/10-k/AMAT/sec_10k_18.txt
ATR|Aptargroup|1O-k|18|20180226|data/SEC/10-k/ATR/sec_10k_18.txt
WTR|Aqua America|1O-k|18|20180228|data/SEC/10-k/WTR/sec_10k_18.txt
ARMK|Aramark|1O-k|18|20181121|data/SEC/10-k/ARMK/sec_10k_18.txt
ACGL|Arch Capital Group|1O-k|18|20180228|data/SEC/10-k/ACGL/sec_10k_18.txt
ADM|Archer Daniels Midland|1O-k|18|20180216|data/SEC/10-k/ADM/sec_10k_18.txt
ARNC|Arconic|1O-k|18|20180226|data/SEC/10-k/ARNC/sec_10k_18.txt
ANET|Arista Networks|1O-k|18|20180220|data/SEC/10-k/ANET/sec_10k_18.txt
ARW|Arrow Electronics|1O-k|18|20180206|data/SEC/10-k/ARW/sec_10k_18.txt
ASH|Ashland Inc.|1O-k|18|20181119|data/SEC/10-k/ASH/sec_10k_18.txt
AZPN|Aspen Technology|1O-k|18|20180808|data/SEC/10-k/AZPN/sec_10k_18.txt
ASB|Associated Banc-Corp|1O-k|18|20180206|data/SEC/10-k/ASB/sec_10k_18.txt
AIZ|Assurant|1O-k|18|20180214|data/SEC/10-k/AIZ/sec_10k_18.txt
AGO|Assured Guaranty|1O-k|18|20180223|data/SEC/10-k/AGO/sec_10k_18.txt
T|AT&T|1O-k|18|20180220|data/SEC/10-k/T/sec_10k_18.txt
ATH|Athene Holding|1O-k|18|20180226|data/SEC/10-k/ATH/sec_10k_18.txt
ATO|Atmos Energy|1O-k|18|20181113|data/SEC/10-k/ATO/sec_10k_18.txt
ADSK|Autodesk|1O-k|18|20180322|data/SEC/10-k/ADSK/sec_10k_18.txt
ADP|Automatic Data Processing|1O-k|18|20180803|data/SEC/10-k/ADP/sec_10k_18.txt
AZO|AutoZone|1O-k|18|20181024|data/SEC/10-k/AZO/sec_10k_18.txt
AGR|Avangrid|1O-k|18|20180326|data/SEC/10-k/AGR/sec_10k_18.txt
AVY|Avery Dennison|1O-k|18|20180221|data/SEC/10-k/AVY/sec_10k_18.txt
AVT|Avnet|1O-k|18|20180817|data/SEC/10-k/AVT/sec_10k_18.txt
AXTA|Axalta Coating Systems|1O-k|18|20180222|data/SEC/10-k/AXTA/sec_10k_18.txt
AXS|AXIS Capital|1O-k|18|20180228|data/SEC/10-k/AXS/sec_10k_18.txt
BKR|Baker Hughes|1O-k|18|20180223|data/SEC/10-k/BKR/sec_10k_18.txt
BLL|Ball Corporation|1O-k|18|20180301|data/SEC/10-k/BLL/sec_10k_18.txt
BAC|Bank of America|1O-k|18|20180222|data/SEC/10-k/BAC/sec_10k_18.txt
BOH|Bank of Hawaii|1O-k|18|20180228|data/SEC/10-k/BOH/sec_10k_18.txt
BK|Bank of New York Mellon|1O-k|18|20180228|data/SEC/10-k/BK/sec_10k_18.txt
BKU|BankUnited|1O-k|18|20180301|data/SEC/10-k/BKU/sec_10k_18.txt
BAX|Baxter International|1O-k|18|20180223|data/SEC/10-k/BAX/sec_10k_18.txt
BDX|Becton Dickinson|1O-k|18|20181121|data/SEC/10-k/BDX/sec_10k_18.txt
